EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 19-04-2025
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 116304) of station Poprad/Tatry, SLOVAKIA (STAID:    334)

 STAID,    SOUID,    DATE,   RR, Q_RR
   334,116304,19510622,    0,    0
   334,116304,19510623,    0,    0
   334,116304,19510624,  225,    0
   334,116304,19510625,   48,    0
   334,116304,19510626,    0,    0
   334,116304,19510627,    0,    0
   334,116304,19510628,    0,    0
   334,116304,19510629,   27,    0
   334,116304,19510630,    0,    0
   334,116304,19510701,    0,    0
   334,116304,19510702,    0,    0
   334,116304,19510703,    1,    0
   334,116304,19510704,   22,    0
   334,116304,19510705,    0,    0
   334,116304,19510706,    0,    0
   334,116304,19510707,    0,    0
   334,116304,19510708,    0,    0
   334,116304,19510709,    0,    0
   334,116304,19510710,    3,    0
   334,116304,19510711,    0,    0
   334,116304,19510712,    1,    0
   334,116304,19510713,    7,    0
   334,116304,19510714,    0,    0
   334,116304,19510715,   16,    0
   334,116304,19510716,  181,    0
   334,116304,19510717,    4,    0
   334,116304,19510718,    0,    0
   334,116304,19510719,    0,    0
   334,116304,19510720,    3,    0
   334,116304,19510721,    0,    0
   334,116304,19510722,    0,    0
   334,116304,19510723,    0,    0
   334,116304,19510724,  111,    0
   334,116304,19510725,    0,    0
   334,116304,19510726,    0,    0
   334,116304,19510727,    0,    0
   334,116304,19510728,    0,    0
   334,116304,19510729,    0,    0
   334,116304,19510730,    7,    0
   334,116304,19510731,    0,    0
   334,116304,19510801,    0,    0
   334,116304,19510802,    0,    0
   334,116304,19510803,  227,    0
   334,116304,19510804,    0,    0
   334,116304,19510805,  161,    0
   334,116304,19510806,    0,    0
   334,116304,19510807,    0,    0
   334,116304,19510808,    0,    0
   334,116304,19510809,    0,    0
   334,116304,19510810,    5,    0
   334,116304,19510811,    3,    0
   334,116304,19510812,    0,    0
   334,116304,19510813,    0,    0
   334,116304,19510814,    9,    0
   334,116304,19510815,    0,    0
   334,116304,19510816,    1,    0
   334,116304,19510817,   39,    0
   334,116304,19510818,    9,    0
   334,116304,19510819,    1,    0
   334,116304,19510820,    1,    0
   334,116304,19510821,    0,    0
   334,116304,19510822,  230,    0
   334,116304,19510823,  269,    0
   334,116304,19510824,  164,    0
   334,116304,19510825,    1,    0
   334,116304,19510826,   82,    0
   334,116304,19510827,   15,    0
   334,116304,19510828,    1,    0
   334,116304,19510829,    1,    0
   334,116304,19510830,    1,    0
   334,116304,19510831,    1,    0
   334,116304,19510901,   62,    0
   334,116304,19510902,    1,    0
   334,116304,19510903,    1,    0
   334,116304,19510904,    1,    0
   334,116304,19510905,    1,    0
   334,116304,19510906,    1,    0
   334,116304,19510907,    1,    0
   334,116304,19510908,    1,    0
   334,116304,19510909,    5,    0
   334,116304,19510910,    1,    0
   334,116304,19510911,    1,    0
   334,116304,19510912,    1,    0
   334,116304,19510913,    0,    0
   334,116304,19510914,    1,    0
   334,116304,19510915,    1,    0
   334,116304,19510916,    0,    0
   334,116304,19510917,   63,    0
   334,116304,19510918,   65,    0
   334,116304,19510919,    1,    0
   334,116304,19510920,   14,    0
   334,116304,19510921,    2,    0
   334,116304,19510922,    0,    0
   334,116304,19510923,    1,    0
   334,116304,19510924,    1,    0
   334,116304,19510925,    0,    0
